time,open_,high,low,close,volume,unknown
2023-03-06T10:15:00+0530,87.9075,87.9075,87.9075,87.9075,0,4183
2023-03-06T10:20:00+0530,87.9075,87.9075,87.9075,87.9075,0,4183
2023-03-06T10:25:00+0530,87.9075,87.9075,87.9075,87.9075,0,4183
2023-03-06T10:30:00+0530,87.9075,87.9075,87.9075,87.9075,0,4183
2023-03-06T10:35:00+0530,87.9075,87.9075,87.85,87.8625,27,4185
2023-03-06T10:40:00+0530,87.8625,87.865,87.8625,87.865,2,4171
2023-03-06T10:45:00+0530,87.865,87.8675,87.865,87.8675,1,4172
2023-03-06T10:50:00+0530,87.8675,87.89,87.8675,87.89,4,4172
2023-03-06T10:55:00+0530,87.89,87.89,87.89,87.89,0,4172
2023-03-06T11:00:00+0530,87.89,87.89,87.855,87.855,1,4176
2023-03-06T11:05:00+0530,87.855,87.855,87.855,87.855,0,4176
2023-03-06T11:10:00+0530,87.855,87.855,87.855,87.855,0,4176
2023-03-06T11:15:00+0530,87.855,87.8625,87.85,87.8625,3,4176
2023-03-06T11:20:00+0530,87.8625,87.8625,87.855,87.855,10,4176
2023-03-06T11:25:00+0530,87.855,87.855,87.855,87.855,0,4176
2023-03-06T11:30:00+0530,87.855,87.855,87.81,87.81,34,4181
2023-03-06T11:35:00+0530,87.81,87.81,87.81,87.81,5,4167
2023-03-06T11:40:00+0530,87.81,87.81,87.81,87.81,0,4167
2023-03-06T11:45:00+0530,87.81,87.81,87.8,87.8,2,4167
2023-03-06T11:50:00+0530,87.8,87.805,87.79,87.79,8,4172
2023-03-06T11:55:00+0530,87.79,87.79,87.79,87.79,0,4172
2023-03-06T12:00:00+0530,87.79,87.79,87.7675,87.7675,12,4175
2023-03-06T12:05:00+0530,87.7675,87.7675,87.7675,87.7675,5,4175
2023-03-06T12:10:00+0530,87.7675,87.7675,87.75,87.75,4,4180
2023-03-06T12:15:00+0530,87.75,87.78,87.75,87.78,5,4181
2023-03-06T12:20:00+0530,87.78,87.78,87.78,87.78,0,4181
2023-03-06T12:25:00+0530,87.78,87.78,87.78,87.78,0,4181
2023-03-06T12:30:00+0530,87.78,87.81,87.78,87.81,10,4186
2023-03-06T12:35:00+0530,87.81,87.81,87.81,87.81,0,4186
2023-03-06T12:40:00+0530,87.81,87.85,87.81,87.85,9,4186
2023-03-06T12:45:00+0530,87.85,87.85,87.85,87.85,0,4186
2023-03-06T12:50:00+0530,87.85,87.85,87.85,87.85,0,4186
2023-03-06T12:55:00+0530,87.85,87.85,87.85,87.85,0,4186
2023-03-06T13:00:00+0530,87.85,87.85,87.85,87.85,5,4191
2023-03-06T13:05:00+0530,87.85,87.85,87.85,87.85,0,4191
2023-03-06T13:10:00+0530,87.85,87.85,87.85,87.85,0,4191
2023-03-06T13:15:00+0530,87.85,87.85,87.7725,87.7725,55,4206
2023-03-06T13:20:00+0530,87.7725,87.7725,87.755,87.765,13,4196
2023-03-06T13:25:00+0530,87.765,87.765,87.7375,87.75,13,4196
2023-03-06T13:30:00+0530,87.75,87.75,87.745,87.745,2,4196
